,Data_Source,Camera_Count,geometry,x,y
23,Amnesty,2,POINT (-73.88933383108703 40.682936013779845),-73.88933383108703,40.682936013779845
24,Amnesty,9,POINT (-73.91556579091124 40.64757391514678),-73.91556579091124,40.64757391514678
25,Amnesty,2,POINT (-73.9230221779106 40.619197576860024),-73.9230221779106,40.619197576860024
26,Amnesty,5,POINT (-73.98691906085051 40.69923487864325),-73.98691906085051,40.69923487864325
27,Amnesty,2,POINT (-73.9426590149927 40.58375795481516),-73.9426590149927,40.58375795481516
28,Amnesty,4,POINT (-73.987771202492 40.66736442080316),-73.987771202492,40.66736442080316
29,Amnesty,2,POINT (-73.9116332386494 40.66535343927612),-73.9116332386494,40.66535343927612
30,Amnesty,7,POINT (-73.91410810257932 40.67240017975969),-73.91410810257932,40.67240017975969
31,Amnesty,3,POINT (-73.92726485670373 40.71229764036412),-73.92726485670373,40.71229764036412
32,Amnesty,1,POINT (-73.94131460319763 40.71769276953223),-73.94131460319763,40.71769276953223
33,Amnesty,1,POINT (-73.91469361404941 40.687535100589265),-73.91469361404941,40.687535100589265
34,Amnesty,2,POINT (-73.9043551934283 40.67502717782403),-73.9043551934283,40.67502717782403
35,Amnesty,2,POINT (-73.97963972069257 40.57545358645359),-73.97963972069257,40.57545358645359
36,Amnesty,1,POINT (-73.9314234853645 40.69479157977985),-73.9314234853645,40.69479157977985
37,Amnesty,2,POINT (-73.96163118560764 40.68247033903456),-73.96163118560764,40.68247033903456
